Introduction;Number-Systems;Exponents;Algebraic-expressions;Equalities-and-inequalities;Trigonometry;Functions-and-graphs;Geometry;Analytical-Geometry;Circles- angles-and-angular-Movement;Finance-and-Growth
Algebraic language;Real numbers;Introducing repeated multiplication;Revision: Notation for representing sets;Getting ready to learn;Introducing two situations;Function notation;Revising angles relating to parallel lines;Using the Cartesian plane to locate points;Preparing to learn;Investing through simple interest
Some words we use in Algebra;More about how to represent sets and intervals;Notation for repeated multiplication and division;Using algebraic expressions;Working with equations;Revision of angles, lengths, length ratios, and similarity;Revision of linear functions;Revising angles relating to triangles;Distance between two points;Revisiting pi(π);Investing through compound interest
Some mathematical conventions and expressions;Rounding off and significant figures;The algebra of exponents;Adding and subtracting of algebraic terms;Simultaneous equations;Switching between pitch angles and different roof length ratios with sine, cosine and tangent functions;Quadratic function y = ax^2;Congruence of triangles;Midpoint coordinates of a line segment joining two points;Measuring angles: Degrees (°);Hire purchase
Quantities;Rational numbers in more detail;Simplifying;Multiplication of polynomials;Linear inequalities;Right-angled triangles;Quadratic function y = ax^2 + q;Similarity of triangles;Gradient of a line segment;Converting from degrees to radians;Inflation
Relationship between quantities;Irrational numbers in more detail;Exponential equations;Factorise expressions of the form ab ± ac;Solving linear inequalities;Defining the trigonometric functions;Exponential graphs y = ab^x;Investigating quadrilaterals;Equation of a straight line passing through two points;Summary;Exchange rates
Properties of operations;Binary numbers;Scientific notation and significant figures;Factorise expressions of the form ax^2 ± bx ± c;Solving quadratic equations by factorisation;Input angles of 0° and 90°;The hyperbola;The Pythagorean Theorem;Summary;exercises;Summary
Factorisation and expansion;Complex numbers;Kilo-, nano-, mega-, micro-, and more;Factorising the difference of two squares;Subject of the formula;The Cartesian grid: looking at the tangent function in a different way;Reading from graphs;Summary;exercises;;exercises
The hidden pattern of the distributive property;Summary;Conversion between units;Factorising: addition or subtraction of two cubes;Word problems;More application of trigonometry functions in the Cartesian plane;Summary;exercises;;;
Another hidden pattern of the distributive property;exercises;Summary;Factorising: some mixed examples;Summary;Solving equations involving trigonometric functions for angles between 0° and 90°;exercises;;;;
Computational properties of Integers;;exercises;Simplifying algebraic fractions (quotient expressions);exercises;Solving problems involving right-angled triangles;;;;;
Equivalence;;;Lowest common multiples(LCM) and highest common factors(HCF);;The graphs of the basic trigonometric functions;;;;;
Simplifying expressions;;;Adding and subtracting algebraic fractions;;Summary;;;;;
From numerical calculations to algebraic calculations;;;Multiplying algebraic fractions;;exercises;;;;;
Modelling some situations;;;Dividing algebraic fractions;;;;;;;
Solution, expression, equation, identity, and impossibility;;;Summary;;;;;;;
The scientific calculator;;;exercises;;;;;;;
